id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6400,The Studio Milan,13822,Francesca,,TIBALDI,45.44119,9.17813,Private room,100,4,12,2010-04-19,0.14,1,358
23986,""" Characteristic Milanese flat""",95941,Jeremy,,NAVIGLI,45.44806,9.17373,Entire home/apt,150,1,15,2020-09-07,0.21,1,363
28300,nice flat near the park,121663,Marta,,SARPI,45.47647,9.17359,Private room,180,1,8,2012-04-22,0.11,1,365
32119,Nico & Cynthia's Easy Yellow Suite,138683,Nico&Cinzia,,VIALE MONZA,45.52014,9.223,Entire home/apt,75,2,15,2018-07-01,0.23,3,200
32649,Nico&Cinzia's Red Easy Suite!,138683,Nico&Cinzia,,VIALE MONZA,45.51874,9.22495,Entire home/apt,71,2,29,2016-10-23,0.71,3,308
37256,COZY FULLY FURNISHED PRIVATE STUDIO CITY CENTER,119002,Giancarlo,,BUENOS AIRES - VENEZIA,45.46884,9.20777,Private room,55,2,34,2019-05-13,0.49,2,0
40470,Giacinto Cosy & clean flat near MM1,174203,Giacinto,,VIALE MONZA,45.52023,9.22747,Entire home/apt,75,3,37,2017-07-24,0.33,2,350
42732,"Navigli near down town, linked Expo",186608,Francesco,,MAGENTA - S. VITTORE,45.45814,9.17654,Entire home/apt,199,2,14,2018-04-22,0.20,2,362
46536,Nico & Cinzia's Pink Suite!,138683,Nico&Cinzia,,VIALE MONZA,45.52276,9.22478,Entire home/apt,76,2,27,2018-07-03,0.23,3,150
55055,BEAUTIFUL MODERN ATTIC CENTER OF MI,246217,Cristina,,BUENOS AIRES - VENEZIA,45.48096,9.21686,Entire home/apt,145,3,2,2016-04-16,0.03,1,365
59226,Near Piazza Gae Aulenti silent e reserved flat,244087,Francesca,,CENTRALE,45.48201,9.19809,Entire home/apt,80,2,7,2011-02-03,0.06,1,89
65142,Very Nice Luxury Apt Central Milan,318394,Angelo,,CENTRALE,45.48027,9.20247,Entire home/apt,52,20,353,2018-09-03,3.11,1,191
69749,Charming Apt in the heart of Milan,144021,Silvia&Max,,XXII MARZO,45.46756,9.20806,Entire home/apt,140,2,95,2015-06-01,0.78,5,87
70591,Chiara & Mesopotamia: Charmy & Lightly home,358567,Chiara,,SARPI,45.48164,9.17898,Private room,100,1,165,2016-11-24,1.42,1,364
73892,BRERA LOVELY STUDIO FOR YOU 3,387110,Silvia,,BRERA,45.46976,9.19201,Entire home/apt,101,2,84,2016-06-03,0.78,3,356
74835,Amazin attic in front of the castle,157872,Augusto,,DUOMO,45.46968,9.17862,Entire home/apt,280,7,3,2017-04-09,0.03,1,0
76671,"Charming Attic, You Will Love It",409538,Valentina,,TICINESE,45.4563,9.17642,Entire home/apt,80,3,2,2012-04-23,0.02,1,242
77958,BRERA  LOVELY WHITE BOAT STUDIO 2,387110,Silvia,,BRERA,45.4701,9.19275,Entire home/apt,100,2,70,2019-02-23,0.59,3,361
79696,Special loft Navigli/Bocconi/Duomo,429570,Cristina,,TICINESE,45.44892,9.18005,Entire home/apt,90,2,45,2018-06-28,0.64,4,111
81202,Sunny Apartment Milan,439051,Gian Luca,,ISOLA,45.48965,9.19642,Entire home/apt,79,3,10,2019-11-01,0.22,1,313
81908,DESIGN FASHION WEEK APARTMENTT,445128,Anna,,BANDE NERE,45.45474,9.14209,Entire home/apt,250,7,4,2019-03-05,0.03,1,365
82227,Your green oasis in Milan's center.,447162,Michele,,WASHINGTON,45.46389,9.16357,Entire home/apt,70,3,6,2014-10-13,0.08,1,364
82635,Mansarda con terrazzo,443414,Paola,,UMBRIA - MOLISE,45.45745,9.21752,Entire home/apt,90,5,4,2011-04-17,0.06,1,87
84741,Nice room with private bathroom,443989,Francesca,,PARCO FORLANINI - ORTICA,45.46935,9.24505,Private room,23,2,464,2021-05-07,4.11,2,0
84903,Cozy apartment for rent in Milano!!,464513,Alessandra,,LAMBRATE,45.4726,9.241,Entire home/apt,45,2,37,2019-10-06,1.02,1,0
85798,The Family Loft|Parking| Istituto dei Tumori,470396,Michelle,,LAMBRATE,45.47214,9.24527,Entire home/apt,70,1,59,2018-08-23,0.71,3,22
88130,Great comfortable & quite APT. x 4 people!,481475,Cinzia,,VILLAPIZZONE,45.49764,9.14533,Entire home/apt,195,2,6,2012-04-23,0.06,1,363
90830,Beautiful original loft with garden,414209,Laura,,NAVIGLI,45.44678,9.16347,Entire home/apt,110,2,12,2013-04-15,0.17,1,358
92978,Navigli district – Nice room for easygoing women,499575,Elena,,NAVIGLI,45.44811,9.1724,Private room,30,2,11,2011-07-02,11,1,358
93025,Elegant Apartment - Milano downtown,499743,Angela,,GUASTALLA,45.47169,9.19748,Entire home/apt,90,2,62,2019-10-29,0.73,1,0
93232,Spacious luminous central flat,500414,Chiara,,XXII MARZO,45.4658,9.21551,Private room,55,5,10,2019-04-13,0.08,1,364
93888,44 Suite Harmony Central train Station,502750,Ale & Max,,CENTRALE,45.48336,9.20513,Entire home/apt,70,1,444,2020-01-11,4.70,4,8
94233,Nice Loft close to C.so Como Milan,503840,Andre & A.,,ISOLA,45.48903,9.19147,Entire home/apt,95,1,38,2017-06-07,0.36,4,192
98119,NiceRoom & SofàBed under the Roof !,503840,Andre & A.,,ISOLA,45.48866,9.19323,Private room,65,2,33,2017-12-31,0.29,4,191
98500,LUXURIOUS bright adjacent Avenida,514653,Angelo,,CITTA' STUDI,45.48539,9.22655,Entire home/apt,230,1,11,2017-06-15,0.11,4,365
99234,Loft|Terrace & Free public Parking,470396,Michelle,,LAMBRATE,45.4712,9.24669,Private room,43,1,95,2018-08-06,1.05,3,3
101087,"Flat "" Chiesa Rossa2 in Milan",530151,Vincenzo,,STADERA,45.43079,9.18234,Entire home/apt,60,3,8,2016-02-09,0.07,1,1
101550,"S. Siro - Bright, quiet & close to everywhere",531941,Iacopo,,S. SIRO,45.47589,9.12361,Private room,17,90,51,2017-01-15,0.60,2,365
102817,Open Space Loft Navigli Area Milano,512747,Paolo Maurizio,,S. CRISTOFORO,45.44465,9.15096,Entire home/apt,55,3,541,2020-03-07,4.81,3,321
104449,Magic House in the heart  of town,543620,Roberta,,ISOLA,45.48831,9.19081,Entire home/apt,120,2,124,2018-11-25,1.02,2,177
105082,Bright Room in a Charming Flat,194148,MariaVittoria,,BUENOS AIRES - VENEZIA,45.48106,9.20968,Private room,76,2,9,2013-03-18,0.09,2,364
106345,Sunny room: Italian Design taste,551230,Caterina,,CENTRALE,45.48116,9.20462,Private room,60,1,27,2015-07-14,0.26,1,365
109384,Design apartment Wifi Fiera Mico,564830,Giovanni,,WASHINGTON,45.46358,9.15732,Entire home/apt,80,2,146,2019-11-25,1.22,1,284
122514,Brand new appartment in Milan,613760,Marco,,GIAMBELLINO,45.45032,9.15218,Entire home/apt,50,2,46,2019-06-12,0.45,1,323
136364,Romantic Room: Milano Bella B&B,667647,Martin,,BUENOS AIRES - VENEZIA,45.47703,9.2081,Private room,90,2,2,2012-10-03,0.02,3,0
138071,Milan Navigli 1 bedroom flat quaint,674434,Max,,NAVIGLI,45.45195,9.16921,Entire home/apt,98,1,67,2020-04-01,0.58,1,227
140134,"Nice flat, piano and yoga classes!",144021,Silvia&Max,,XXII MARZO,45.46583,9.20955,Private room,49,1,247,2019-10-26,2.31,5,89
140874,Experience a 3 level house in Milan,685839,Serena,,ISOLA,45.4938,9.18515,Private room,49,1,123,2018-02-04,1.02,1,355
141833,Piccolo Attico Duomo // 3-18 months stay contract,689467,Ilaria,,DUOMO,45.46024,9.18063,Entire home/apt,180,15,79,2017-09-28,0.78,7,190
142784,downtown ONLY for WOMEN  subway wi-fi SINGLE ROOM,693290,Alessandra,,PADOVA,45.50301,9.22055,Private room,41,1,127,2018-10-07,1.07,1,0
143329,holiday rental apartment milan central,695509,Sonia,,BUENOS AIRES - VENEZIA,45.48263,9.21557,Entire home/apt,72,3,48,2017-06-07,0.72,1,306
143674,Sunny Room + Private Bath in Milan,682510,Gio,,ISOLA,45.49,9.18261,Private room,31,3,186,2018-10-07,1.55,1,0
155720,matrimoni red room on Canals center,748765,Bruna,,NAVIGLI,45.44512,9.16682,Private room,40,1,135,2019-08-06,1.20,4,222
161605,Green private room and bath,773109,Monica,,UMBRIA - MOLISE,45.45666,9.2235,Private room,130,3,2,2012-09-18,0.02,2,364
169871,B&B Milano Bella: Relax in Town,667647,Martin,,BUENOS AIRES - VENEZIA,45.47695,9.2081,Private room,90,1,5,2012-09-22,0.05,3,0
171017,"Charming Terrace Flat with Veranda, 15 min Centre",815807,Katia,,LORETO,45.495,9.21591,Entire home/apt,40,2,310,2019-07-24,2.83,1,257
172600,Stay at 100m from FieraMilanoCity,819192,Elena,,DE ANGELI - MONTE ROSA,45.48229,9.14725,Entire home/apt,59,2,32,2019-07-24,0.55,1,43
178992,"Very bright, quiet, cosy, Navigli-Bocconi-centre",856935,Ottavia,,TICINESE,45.44593,9.17944,Entire home/apt,43,30,0,,,47,0
179197,300 yr. old Loft Central Milan,857154,Richard,,TICINESE,45.45034,9.17841,Entire home/apt,75,1,344,2016-02-28,3.00,1,0
189441,A cozy loft in Milan fully equipped,913914,Edoardo,,BOVISASCA,45.51503,9.15899,Private room,35,2,113,2019-04-28,1.05,1,180
