id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17878,"Very Nice 2Br in Copacabana w. balcony, fast WiFi",68997,Matthias,,Copacabana,-22.96592,-43.17896,Entire home/apt,200,5,260,2021-02-08,2.00,1,334
24480,Nice and cozy near Ipanema Beach,99249,Goya,,Ipanema,-22.9857,-43.20193,Entire home/apt,307,3,85,2018-02-14,0.67,1,37
35636,Cosy flat close to Ipanema beach,153232,Patricia,,Ipanema,-22.98816,-43.19359,Entire home/apt,275,2,181,2020-03-15,2.00,1,236
35764,COPACABANA SEA BREEZE  -  RIO - 20 X Superhost,153691,Patricia Miranda & Paulo,,Copacabana,-22.98127,-43.19046,Entire home/apt,120,3,356,2021-03-06,2.79,1,120
41198,"Modern 2bed,Top end of Copacabana",178975,Nicky,,Copacabana,-22.97962,-43.1923,Entire home/apt,494,3,18,2016-02-09,0.18,2,365
48305,Bright 6bed Remote-work Ready Penthouse Seconds from Beach,70933,Goitaca,,Ipanema,-22.98591,-43.20302,Entire home/apt,1967,2,78,2021-03-05,0.64,8,349
48726,Rio de Janeiro Copacabana Ipanema,221941,Vana,,Ipanema,-22.98414,-43.1945,Private room,110,3,42,2019-08-08,1.02,1,43
48901,Confortable 4BD 3.5BT Atlantic avenue,222884,Marcio,,Copacabana,-22.96574,-43.17514,Entire home/apt,540,4,4,2020-03-08,0.06,2,214
49179,Djalma Ocean View Studio with Amazing Views #100A,224192,David,,Copacabana,-22.9791,-43.19008,Entire home/apt,150,3,96,2021-02-17,0.95,38,106
50294,Ipanema Beach Block Suites Just Seconds from the Beach,70933,Goitaca,,Ipanema,-22.98584,-43.20305,Entire home/apt,1312,2,73,2020-09-20,0.62,8,348
50759,4 Suites lake front Barra da Tijuca,233554,Felipe,,Barra da Tijuca,-23.00307,-43.30911,Entire home/apt,3404,1,7,2017-01-08,0.11,4,365
51703,"Ocean view, block of the beach, Copacabana,Ipanema",238091,Dália,,Copacabana,-22.98128,-43.19091,Entire home/apt,140,3,166,2021-03-14,1.58,2,297
64795,Ipanema amazing 3 BDRs apartment.,93005,Andrea,,Ipanema,-22.98178,-43.20076,Entire home/apt,333,1,17,2021-03-01,0.14,1,355
65546,"Beach Block 3bed Penthouse, Ipanema Best Location",70933,Goitaca,,Ipanema,-22.98599,-43.20299,Entire home/apt,1474,2,64,2021-02-02,0.52,8,348
66574,Beach apart in Rio (January/February 2020),326301,Frederic,,Flamengo,-22.92873,-43.17473,Entire home/apt,180,4,1,2016-08-24,0.02,1,327
66797,Studio Apart  for rent in ipanema.,328096,Carlos,,Ipanema,-22.98463,-43.19563,Entire home/apt,145,3,211,2021-03-19,1.73,3,245
68422,Copacabana Beach Living+AirConWiFi,339264,David,,Copacabana,-22.98498,-43.19135,Private room,215,4,79,2017-11-22,0.64,1,90
70080,Apart-hotel in Ipanema with service and garage,319672,Valeria,,Ipanema,-22.9854,-43.19602,Entire home/apt,230,2,383,2021-03-16,3.41,5,267
73581,Studio Between Ipanema/Copacabana,384673,Pedro,,Copacabana,-22.98027,-43.19255,Entire home/apt,183,3,143,2020-02-26,1.17,1,179
75585,Copacabana 2 BR Penthouse Duplex,401375,Stefan,,Copacabana,-22.98238,-43.19366,Entire home/apt,401,10,101,2020-02-24,0.83,1,270
76245,Spacious Home Heart of Rio290m4QT. Discount10%week,406651,Diogo,,Copacabana,-22.98192,-43.19397,Entire home/apt,784,2,125,2020-02-23,1.06,1,121
76300,"GREAT VIEW -Guesthouse ""CASA 48""- Santa Teresa  #1",406989,Casa 48 Guesthouse,,Santa Teresa,-22.92875,-43.19341,Private room,65,7,214,2021-02-17,1.93,6,206
76961,Tiny House in Lapa,411441,Marcelle,,Santa Teresa,-22.91431,-43.19081,Entire home/apt,100,4,96,2021-02-03,0.79,1,191
77318,❤Unique RIO | retreat w/ forest view in hot spot,110002,Silvia,,Gávea,-22.97629,-43.23145,Entire home/apt,194,5,36,2021-03-08,0.37,1,145
80145,Stay in a small imperial castle !,432777,Andreas,,Santa Teresa,-22.92519,-43.19118,Private room,110,2,14,2019-10-06,0.14,2,365
